Iteracion,Tiempo_Captura,Tiempo_Preprocesado,Tiempo_Segmentacion,Clase,Tiempo_Clasificacion
1,0.8896019458770752,0.09484028816223145,3.3937439918518066,Sin Falla,1.5502338409423828
2,0.8746874332427979,0.10645890235900879,1.069720983505249,Sin Falla,0.6495673656463623
3,0.8766007423400879,0.08665919303894043,1.0479724407196045,Sin Falla,0.6611466407775879
4,0.8831942081451416,0.0826265811920166,1.0473790168762207,Sin Falla,0.6532566547393799
5,0.8987553119659424,0.08214712142944336,1.0394184589385986,Sin Falla,0.6509337425231934
6,0.9069654941558838,0.08063983917236328,1.0408828258514404,Sin Falla,0.6377856731414795
7,0.8535599708557129,0.08459854125976562,1.0682275295257568,Sin Falla,0.6455113887786865
8,0.8728265762329102,0.08373403549194336,1.0395021438598633,Sin Falla,0.6612958908081055
9,0.8579702377319336,0.08860540390014648,1.0404250621795654,Sin Falla,0.6477041244506836
10,0.8731346130371094,0.08353638648986816,1.0434341430664062,Sin Falla,0.6512093544006348
11,0.8606383800506592,0.0792233943939209,1.0230293273925781,Sin Falla,0.635991096496582
12,0.8742501735687256,0.09065747261047363,1.0641322135925293,Sin Falla,0.6465792655944824
13,0.8805046081542969,0.08694338798522949,1.0438952445983887,Sin Falla,0.6320407390594482
14,0.8751912117004395,0.10199165344238281,1.0596420764923096,Sin Falla,0.650015115737915
15,0.8654983043670654,0.08537530899047852,1.0493700504302979,Sin Falla,0.6534817218780518
16,0.8746309280395508,0.08046293258666992,1.0419845581054688,Sin Falla,0.6392529010772705
17,0.8565599918365479,0.07904648780822754,1.0281403064727783,Sin Falla,0.6513447761535645
18,0.8809928894042969,0.0737605094909668,1.0284264087677002,Sin Falla,0.6328957080841064
19,0.8787641525268555,0.07756614685058594,1.0494415760040283,Sin Falla,0.6393580436706543
20,0.8741912841796875,0.07719755172729492,1.0241050720214844,Sin Falla,0.6578588485717773
21,0.8547255992889404,0.08227419853210449,1.0389704704284668,Sin Falla,0.6386764049530029
22,0.8803114891052246,0.07892775535583496,1.032137393951416,Sin Falla,0.6493856906890869
23,0.8848891258239746,0.07929086685180664,1.030900478363037,Sin Falla,0.6301774978637695
24,0.8706908226013184,0.07789039611816406,1.0525426864624023,Sin Falla,0.6304416656494141
25,0.8842494487762451,0.07850861549377441,1.032275915145874,Sin Falla,0.6541521549224854
26,0.8800597190856934,0.0867919921875,1.0570509433746338,Sin Falla,0.6496820449829102
27,0.8784608840942383,0.0775141716003418,1.0324897766113281,Sin Falla,0.6482880115509033
28,0.8832621574401855,0.09331464767456055,1.0379936695098877,Sin Falla,0.6531217098236084
29,0.8909120559692383,0.09092044830322266,1.045971393585205,Sin Falla,0.6646420955657959
30,0.8758518695831299,0.09120631217956543,1.0407588481903076,Sin Falla,0.6416497230529785
31,0.8726522922515869,0.08553051948547363,1.0585088729858398,Sin Falla,0.6421654224395752
32,0.889030933380127,0.0862588882446289,1.0398528575897217,Sin Falla,0.6514909267425537
33,0.8688766956329346,0.09117531776428223,1.0467991828918457,Sin Falla,0.6501615047454834
34,0.8848662376403809,0.0838782787322998,1.046954870223999,Sin Falla,0.6584832668304443
35,0.894298791885376,0.09035801887512207,1.0417580604553223,Sin Falla,0.6493158340454102
36,0.8623266220092773,0.07586002349853516,1.0430881977081299,Sin Falla,0.6345765590667725
37,0.8887410163879395,0.07993030548095703,1.0379915237426758,Sin Falla,0.6304833889007568
38,0.8934319019317627,0.07819366455078125,1.05470609664917,Sin Falla,0.6463725566864014
39,0.8438506126403809,0.07756400108337402,1.0333209037780762,Sin Falla,0.6513206958770752
40,0.8636741638183594,0.07443714141845703,1.0350761413574219,Sin Falla,0.6385912895202637
41,0.8706130981445312,0.07660675048828125,1.0443806648254395,Sin Falla,0.6634221076965332
42,0.8564350605010986,0.07999920845031738,1.0290703773498535,Sin Falla,0.6337461471557617
43,0.8697810173034668,0.07690811157226562,1.0458331108093262,Sin Falla,0.6331110000610352
44,0.8887217044830322,0.08211469650268555,1.025075912475586,Sin Falla,0.6466422080993652
45,0.8560354709625244,0.08080148696899414,1.0292422771453857,Sin Falla,0.6397128105163574
46,0.894965648651123,0.09264826774597168,1.0431134700775146,Sin Falla,0.6614603996276855
47,0.871112585067749,0.0778954029083252,1.0267834663391113,Sin Falla,0.6458315849304199
48,0.865135669708252,0.0789957046508789,1.0514287948608398,Sin Falla,0.6526186466217041
49,0.8833267688751221,0.08171725273132324,1.0338308811187744,Sin Falla,0.6256072521209717
50,0.8822174072265625,0.08892989158630371,1.058955430984497,Sin Falla,0.6464219093322754
51,0.8377313613891602,0.08530044555664062,1.0547165870666504,Sin Falla,0.6600708961486816
52,1.4535131454467773,0.08343243598937988,1.048020601272583,Sin Falla,0.6547214984893799
53,0.8427920341491699,0.08083319664001465,1.0376157760620117,Sin Falla,0.6641287803649902
54,0.8729920387268066,0.08073210716247559,1.0432145595550537,Sin Falla,0.6553804874420166
55,0.8533954620361328,0.08152055740356445,1.0603830814361572,Sin Falla,0.658883810043335
56,0.8730194568634033,0.08311128616333008,1.0291342735290527,Sin Falla,0.6386144161224365
57,0.8723094463348389,0.07317280769348145,1.0596199035644531,Sin Falla,0.6506495475769043
58,0.8898904323577881,0.07272481918334961,1.027503490447998,Sin Falla,0.652461051940918
59,0.8842580318450928,0.08273911476135254,1.0428717136383057,Sin Falla,0.6668710708618164
60,0.8973424434661865,0.08902978897094727,1.0399169921875,Sin Falla,0.6734604835510254
61,0.8682820796966553,0.08676385879516602,1.0366137027740479,Sin Falla,0.6311848163604736
62,0.8593606948852539,0.0758521556854248,1.050666332244873,Sin Falla,0.6436386108398438
63,0.85848069190979,0.08133268356323242,1.036649465560913,Sin Falla,0.6625967025756836
64,0.8652017116546631,0.07788562774658203,1.0460541248321533,Sin Falla,0.641812801361084
65,0.8731129169464111,0.07760834693908691,1.0270061492919922,Sin Falla,0.664557695388794
66,0.8740208148956299,0.0720984935760498,1.0271210670471191,Sin Falla,0.6335039138793945
67,0.8753001689910889,0.07098007202148438,1.049104928970337,Sin Falla,0.6417253017425537
68,0.8858578205108643,0.07440304756164551,1.0314674377441406,Sin Falla,0.6412451267242432
69,0.8584527969360352,0.07236242294311523,1.0564765930175781,Sin Falla,0.6417868137359619
70,0.8712158203125,0.07443404197692871,1.0374553203582764,Sin Falla,0.6572046279907227
71,0.8521113395690918,0.0735635757446289,1.0363140106201172,Sin Falla,0.6379387378692627
72,0.8982102870941162,0.07289838790893555,1.0399820804595947,Sin Falla,0.6693205833435059
73,0.8594779968261719,0.07054257392883301,1.0299291610717773,Sin Falla,0.6391572952270508
74,0.8912975788116455,0.0719912052154541,1.0577571392059326,Sin Falla,0.6336174011230469
75,0.8589935302734375,0.07740616798400879,1.0409579277038574,Sin Falla,0.661318302154541
76,0.8444821834564209,0.0674283504486084,1.044621467590332,Sin Falla,0.6376214027404785
77,0.8704230785369873,0.07589292526245117,1.0311315059661865,Sin Falla,0.6704707145690918
78,0.8525717258453369,0.075469970703125,1.0337836742401123,Sin Falla,0.6396031379699707
79,0.8578484058380127,0.08580684661865234,1.0513513088226318,Sin Falla,0.6488945484161377
80,0.855940580368042,0.0780022144317627,1.0458149909973145,Sin Falla,0.6387248039245605
81,0.8617753982543945,0.08452677726745605,1.0550556182861328,Sin Falla,0.6476259231567383
82,0.8890900611877441,0.0796959400177002,1.0567519664764404,Sin Falla,0.6527426242828369
83,0.873382568359375,0.07820439338684082,1.0490059852600098,Sin Falla,0.640578031539917
84,0.8930017948150635,0.06765222549438477,1.0310406684875488,Sin Falla,0.6479487419128418
85,0.8864898681640625,0.07869529724121094,1.037466049194336,Sin Falla,0.6526048183441162
86,0.8754827976226807,0.08470368385314941,1.0577425956726074,Sin Falla,0.6460914611816406
87,0.8619070053100586,0.0681915283203125,1.0197999477386475,Sin Falla,0.6426825523376465
88,0.9026455879211426,0.08756804466247559,1.1499159336090088,Sin Falla,0.6401011943817139
89,0.8753190040588379,0.10918927192687988,1.035759687423706,Sin Falla,0.6615123748779297
90,0.8727240562438965,0.07957887649536133,1.0857207775115967,Sin Falla,0.6513710021972656
91,0.8322455883026123,0.0936281681060791,1.057647705078125,Sin Falla,0.642359733581543
92,0.8380467891693115,0.08220934867858887,1.0578022003173828,Sin Falla,0.6824634075164795
